number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
44,1,1100,1280.0,1280.0,1
45,0,5450,1370.6521739130435,1370.6521739130435,1
46,0,5950,1468.0851063829787,1468.0851063829787,1
47,3,-550,1426.0416666666667,1426.0416666666667,1
48,0,6800,1535.7142857142858,1535.7142857142858,1
49,2,-300,1499.0,1499.0,1
50,3,750,1484.313725490196,1484.313725490196,1
51,1,550,1466.3461538461538,1466.3461538461538,1
52,2,350,1445.2830188679245,1445.2830188679245,1
53,2,1400,1444.4444444444443,1444.4444444444443,1
54,3,300,1423.6363636363637,1423.6363636363637,1
55,0,6700,1517.857142857143,1517.857142857143,1
56,1,450,1499.122807017544,1499.122807017544,1
57,3,-600,1462.9310344827586,1462.9310344827586,1
58,1,700,1450.0,1450.0,1
59,3,1050,1443.3333333333333,1443.3333333333333,1
60,3,600,1429.5081967213114,1429.5081967213114,1
61,3,350,1412.0967741935483,1412.0967741935483,1
62,3,550,1398.4126984126983,1398.4126984126983,1
63,1,150,1378.90625,1378.90625,1
64,3,650,1367.6923076923076,1367.6923076923076,1
65,1,750,1358.3333333333333,1358.3333333333333,1
66,3,-100,1336.5671641791046,1336.5671641791046,1
67,1,900,1330.1470588235295,1330.1470588235295,1
68,0,6800,1409.4202898550725,1409.4202898550725,1
69,3,650,1398.5714285714287,1398.5714285714287,1
70,0,6550,1471.1267605633802,1471.1267605633802,1
71,2,0,1450.6944444444443,1450.6944444444443,1
72,2,1800,1455.4794520547946,1455.4794520547946,1
73,3,950,1448.6486486486488,1448.6486486486488,1
74,2,1000,1442.6666666666667,1442.6666666666667,1
75,2,150,1425.657894736842,1425.657894736842,1
76,2,900,1418.8311688311687,1418.8311688311687,1
77,3,950,1412.820512820513,1412.820512820513,1
78,0,6650,1479.113924050633,1479.113924050633,1
79,1,-950,1448.75,1448.75,1
80,0,6850,1515.432098765432,1515.432098765432,1
81,0,6550,1576.8292682926829,1576.8292682926829,1
82,3,-550,1551.2048192771085,1551.2048192771085,1
83,0,6750,1613.095238095238,1613.095238095238,1
84,2,700,1602.3529411764705,1602.3529411764705,1
85,2,550,1590.1162790697674,1590.1162790697674,1
86,3,1100,1584.4827586206898,1584.4827586206898,1
87,3,600,1573.2954545454545,1573.2954545454545,1
88,3,500,1561.2359550561798,1561.2359550561798,1
89,2,850,1553.3333333333333,1553.3333333333333,1
90,0,6900,1612.0879120879122,1612.0879120879122,1
91,1,-50,1594.0217391304348,1594.0217391304348,1
92,1,850,1586.021505376344,1586.021505376344,1
93,2,750,1577.127659574468,1577.127659574468,1
94,2,250,1563.157894736842,1563.157894736842,1
